ping_time,route,busId,lat,lng,bearing,direction,plateNumber,status,velocity
2026-01-23T15:44:53.108209,99,93341,32.02084,35.842712,295.1,0,58-93341,🛑 PARKED (EXTREME),0.0
2026-01-23T15:44:53.108209,99,97599,32.020844,35.84271,274.5,0,58-97599,🛑 PARKED (EXTREME),0.0
2026-01-23T15:44:53.108209,99,11014,32.022327,35.845325,72.4,0,58-11014,🟢 MOVING,6.5578542337303825
2026-01-23T15:44:53.108209,99,61004,31.992662,35.890045,126.2,0,58-61004,🟢 MOVING,14.770262351775663
2026-01-23T15:44:53.108209,99,69779,31.96722,35.886963,168.8,0,58-69779,🟢 MOVING,6.3911091340829875
2026-01-23T15:44:53.108209,99,68570,31.966894,35.887012,185.5,0,58-68570,🟢 MOVING,3.149467353768182
2026-01-23T15:44:53.108209,99,25354,31.945915,35.928493,119.4,0,58-25354,🟢 MOVING,5.95782530693446
2026-01-23T15:44:53.108209,99,59779,31.94616,35.92763,102.5,0,58-59779,🟢 MOVING,6.156356904246109
2026-01-23T15:44:53.108209,99,88230,31.99991,36.013805,326.39,0,58-88230,🛑 PARKED (EXTREME),0.0
2026-01-23T15:45:28.343863,99,93341,32.02084,35.842712,295.1,0,58-93341,🛑 PARKED (EXTREME),0.0
2026-01-23T15:45:28.343863,99,97599,32.020844,35.84271,274.5,0,58-97599,🛑 PARKED (EXTREME),0.0
2026-01-23T15:45:28.343863,99,11014,32.02307,35.84814,70.5,0,58-11014,🟢 MOVING,7.820810366303927
2026-01-23T15:45:28.343863,99,61004,31.992662,35.890045,126.2,0,58-61004,🟡 STOPPED (BOARDING?),0.0
2026-01-23T15:45:28.343863,99,69779,31.967018,35.887024,169.8,0,58-69779,🟢 MOVING,0.6523617481796141
2026-01-23T15:45:28.343863,99,68570,31.96497,35.884415,221.5,0,58-68570,🟢 MOVING,9.150936674012087
2026-01-23T15:45:28.343863,99,25354,31.94548,35.928753,205.5,0,58-25354,🟢 MOVING,1.525915405010017
2026-01-23T15:45:28.343863,99,59779,31.94616,35.92763,102.5,0,58-59779,🛑 PARKED (EXTREME),0.0
2026-01-23T15:45:28.343863,99,88230,31.99991,36.013805,326.39,0,58-88230,🛑 PARKED (EXTREME),0.0
2026-01-23T15:46:02.087078,99,93341,32.02084,35.842712,295.1,0,58-93341,🛑 PARKED (EXTREME),0.0
2026-01-23T15:46:02.087078,99,97599,32.020844,35.84271,274.5,0,58-97599,🛑 PARKED (EXTREME),0.0
2026-01-23T15:46:02.087078,99,11014,32.02354,35.849808,71.8,0,58-11014,🟢 MOVING,4.920904964583824
2026-01-23T15:46:02.087078,99,61004,31.991167,35.89212,137.3,0,58-61004,🟢 MOVING,7.625714163883447
2026-01-23T15:46:02.087078,99,69779,31.966734,35.886894,240.5,0,58-69779,🟢 MOVING,1.0061188111559565
2026-01-23T15:46:02.087078,99,68570,31.964045,35.883595,216.3,0,58-68570,🟢 MOVING,3.8222145332420214
2026-01-23T15:46:02.087078,99,25354,31.94548,35.928753,205.5,0,58-25354,🛑 PARKED (EXTREME),0.0
2026-01-23T15:46:02.087078,99,59779,31.94616,35.92763,102.5,0,58-59779,🛑 PARKED (EXTREME),0.0
2026-01-23T15:46:02.087078,99,88230,31.99991,36.013805,326.39,0,58-88230,🛑 PARKED (EXTREME),0.0
2026-01-23T15:46:34.549441,99,93341,32.02084,35.842712,295.1,0,58-93341,🛑 PARKED (EXTREME),0.0
2026-01-23T15:46:34.549441,99,97599,32.020844,35.84271,274.5,0,58-97599,🛑 PARKED (EXTREME),0.0
2026-01-23T15:46:34.549441,99,11014,32.0245,35.853188,72.09,0,58-11014,🟢 MOVING,10.371075640830831
2026-01-23T15:46:34.549441,99,61004,31.988344,35.895172,136.69,0,58-61004,🟢 MOVING,13.140061595790248
2026-01-23T15:46:34.549441,99,69779,31.964617,35.884113,220.5,0,58-69779,🟢 MOVING,10.874889159792948
2026-01-23T15:46:34.549441,99,68570,31.961761,35.88179,212.5,0,58-68570,🟢 MOVING,9.433958096953551
2026-01-23T15:46:34.549441,99,25354,31.94548,35.928753,205.5,0,58-25354,🛑 PARKED (EXTREME),0.0
2026-01-23T15:46:34.549441,99,88230,31.99991,36.013805,326.39,0,58-88230,🛑 PARKED (EXTREME),0.0
2026-01-23T15:47:11.014595,99,93341,32.02084,35.842712,295.1,0,58-93341,🛑 PARKED (EXTREME),0.0
2026-01-23T15:47:11.014595,99,97599,32.020844,35.84271,274.5,0,58-97599,🛑 PARKED (EXTREME),0.0
2026-01-23T15:47:11.014595,99,11014,32.0247,35.85415,84.1,0,58-11014,🟢 MOVING,2.556816214991693
2026-01-23T15:47:11.014595,99,61004,31.987106,35.896294,144.6,0,58-61004,🟢 MOVING,4.755388071593966
2026-01-23T15:47:11.014595,99,69779,31.964582,35.88409,217.6,0,58-69779,🟡 STOPPED (BOARDING?),0.0
2026-01-23T15:47:11.014595,99,68570,31.958445,35.879246,209.5,0,58-68570,🟢 MOVING,12.04938206461977
2026-01-23T15:47:11.014595,99,25354,31.94548,35.928753,205.5,0,58-25354,🛑 PARKED (EXTREME),0.0
